"asset","asset_type","proposed_package","confidence","lines","exported_functions_detected","rationale"
"R/basin_cx.R","R","gflow","high",2924,"basin.cx.merge;basins.union;create.basin.cx;plot.basin_cx;print.basin_cx;print.summary.basin_cx;show.basin.basin_cx;summary.basin_cx","Gradient-flow cells, Morse-Smale objects, basins, extrema, or trajectory infrastructure."
"R/basin_lookup_functions.R","R","gflow","high",171,"","Gradient-flow cells, Morse-Smale objects, basins, extrema, or trajectory infrastructure."
"R/bayes_bootstrap_rdgraph.R","R","geosmooth","high",266,"","Conditional-expectation, smoothing, regression, trend-filtering, or fitted-response model."
"R/boxcox_utils.R","R","shared","medium",177,"","Cross-cutting infrastructure, generated registration, utilities, synthetic/test helpers, or shared numerical support."
"R/cell_trajectories_generic.R","R","gflow","high",14,"","Gradient-flow cells, Morse-Smale objects, basins, extrema, or trajectory infrastructure."
"R/centered_paths.R","R","undecided","low",327,"get.path.data","Needs manual review."
"R/circular_data_utils.R","R","shared","medium",96,"angle.alignment","Cross-cutting infrastructure, generated registration, utilities, synthetic/test helpers, or shared numerical support."
"R/cluster_comono_graph.R","R","gflowx","medium",147,"cluster.comono.graph","Analysis workflow, association testing, clustering, visualization, microbiome-specific, or experimental application layer."
"R/cluster_local_extrema.R","R","gflowx","medium",332,"cluster.local.extrema","Analysis workflow, association testing, clustering, visualization, microbiome-specific, or experimental application layer."
"R/clustering.R","R","gflowx","medium",2362,"adjusted.rand.index;cluster.graph.louvain;clusters.reorder;congruence.with.labels;describe.hclust_select_k;graph.cltr.imputation;hclust.select.k;hdbscan.cltr;kNN.cltr.imputation;plot.hclust_select_k;print.hclust_select_k;summary.hclust_select_k","Analysis workflow, association testing, clustering, visualization, microbiome-specific, or experimental application layer."
"R/compat_helpers.R","R","shared","medium",257,"","Cross-cutting infrastructure, generated registration, utilities, synthetic/test helpers, or shared numerical support."
"R/component_mst_connectivity.R","R","gflow","medium",432,"","Graph, geodesic, geometry, dimensionality, or gradient-flow infrastructure."
"R/compositional_data_utils.R","R","gflowx","medium",210,"arcsin.sqrt.transform;clr.transform;clr.transform.matrix","Analysis workflow, association testing, clustering, visualization, microbiome-specific, or experimental application layer."
"R/compute_basins_of_attraction_rtcb.R","R","gflow","high",95,"","Gradient-flow cells, Morse-Smale objects, basins, extrema, or trajectory infrastructure."
"R/compute_basins_of_attraction.R","R","gflow","high",1032,"basin;basin.basins_of_attraction;basins;basins.basins_of_attraction;compute.basins.of.attraction;draw.basin;lmax.basin_summary;lmin.basin_summary;summary.basins_of_attraction","Gradient-flow cells, Morse-Smale objects, basins, extrema, or trajectory infrastructure."
"R/compute_gfc_basins.R","R","gflow","high",231,"compute.gfc.basins;print.gfc_basins","Gradient-flow cells, Morse-Smale objects, basins, extrema, or trajectory infrastructure."
"R/compute_gfc_modulation.R","R","gflow","high",489,"plot.gfc_modulation;print.gfc_modulation","Gradient-flow cells, Morse-Smale objects, basins, extrema, or trajectory infrastructure."
"R/compute_gfc.R","R","gflow","high",1339,"compute.gfc;expand.basins.to.cover;generate.refinement.report;print.basins_of_attraction","Gradient-flow cells, Morse-Smale objects, basins, extrema, or trajectory infrastructure."
"R/compute_Lp_graphs.R","R","gflow","medium",668,"compute.Lp.graphs;load.Lp.results;summary.Lp.results","Graph, geodesic, geometry, dimensionality, or gradient-flow infrastructure."
"R/compute_partition_cell_stats.R","R","gflow","high",195,"cell.y.values","Gradient-flow cells, Morse-Smale objects, basins, extrema, or trajectory infrastructure."
"R/consensus_clustering.R","R","gflowx","medium",162,"","Analysis workflow, association testing, clustering, visualization, microbiome-specific, or experimental application layer."
"R/cst_colors.R","R","gflowx","medium",111,"","Analysis workflow, association testing, clustering, visualization, microbiome-specific, or experimental application layer."
"R/cst_graph_mixing_stats.R","R","gflowx","medium",454,"plot.cst_graph_mixing_stats","Analysis workflow, association testing, clustering, visualization, microbiome-specific, or experimental application layer."
"R/data_smoother.R","R","geosmooth","high",505,"data.smoother","Conditional-expectation, smoothing, regression, trend-filtering, or fitted-response model."
"R/density.R","R","undecided","low",107,"gdensity","Needs manual review."
"R/detect_binary_partition.R","R","undecided","low",329,"","Needs manual review."
"R/diffusion_pseudotime_sparse.R","R","gflow","medium",387,"build.sparse.transition;compute.diffusion.pseudotime.sparse;compute.potential.pseudotime.sparse","Graph, geodesic, geometry, dimensionality, or gradient-flow infrastructure."
"R/distance_graph_helpers.R","R","gflow","medium",253,"","Graph, geodesic, geometry, dimensionality, or gradient-flow infrastructure."
"R/distance_quantile_bin_analysis.R","R","undecided","low",293,"distance.quantile.bin.analysis;plot.distance.quantile.bins","Needs manual review."
"R/divergences.R","R","undecided","low",1012,"classifier.based.divergence;energy.distance;entropy.difference;jensen.shannon.divergence;kullback.leibler.divergence;mutual.information;nn.distance.ratio.estimator;wasserstein.distance;wasserstein.divergence","Needs manual review."
"R/extract_optimal_Lp_graph.R","R","gflow","medium",573,"extract.optimal.Lp.graph","Graph, geodesic, geometry, dimensionality, or gradient-flow infrastructure."
"R/extract_stable_clusters.R","R","gflowx","medium",528,"","Analysis workflow, association testing, clustering, visualization, microbiome-specific, or experimental application layer."
"R/extrema_utils.R","R","gflow","high",887,"compute.extrema.hop.nbhds;get.nbrs;label.extrema.3d;label.extrema.leaders.3d;relabel.extrema","Gradient-flow cells, Morse-Smale objects, basins, extrema, or trajectory infrastructure."
"R/extremality_utils.R","R","gflow","high",1505,"analyze.dbscan.noise;compute.cluster.summary;compute.dbscan.cluster.summary;extract.cluster.representatives;extract.dbscan.cluster.representatives;extremality.summary;label.extremality.3d","Gradient-flow cells, Morse-Smale objects, basins, extrema, or trajectory infrastructure."
"R/fassoc_test.R","R","gflowx","medium",704,"compute.diff.profiles;create.delta1.Delta1.df;delta.indices;print.fassoc;summary.fassoc;total.associations","Analysis workflow, association testing, clustering, visualization, microbiome-specific, or experimental application layer."
"R/fassoc0_test_paired.R","R","gflowx","medium",941,"coef.assoc0;plot.assoc0;print.assoc0;print.summary.assoc0;summary.assoc0","Analysis workflow, association testing, clustering, visualization, microbiome-specific, or experimental application layer."
"R/fassoc1_test_paired.R","R","gflowx","medium",1081,"coef.assoc1;extract.derivatives.assoc1;plot.assoc1;print.assoc1;print.summary.assoc1;summary.assoc1","Analysis workflow, association testing, clustering, visualization, microbiome-specific, or experimental application layer."
"R/filter_basins_by_relvalue.R","R","gflow","high",299,"filter.basins.by.relvalue","Gradient-flow cells, Morse-Smale objects, basins, extrema, or trajectory infrastructure."
"R/filter_basins.R","R","gflow","high",401,"filter.basins","Gradient-flow cells, Morse-Smale objects, basins, extrema, or trajectory infrastructure."
"R/find_discrepant_pairs.R","R","undecided","low",118,"","Needs manual review."
"R/find_shortest_paths_within_radius.R","R","gflow","medium",96,"find.shortest.paths.within.radius","Graph, geodesic, geometry, dimensionality, or gradient-flow infrastructure."
"R/fit_rho_randomwalk.R","R","undecided","low",383,"fit.rho.randomwalk","Needs manual review."
"R/fn_graphs.R","R","gflow","medium",263,"","Graph, geodesic, geometry, dimensionality, or gradient-flow infrastructure."
"R/generate_knn_example_data.R","R","undecided","low",107,"","Needs manual review."
"R/geodesic_core_endpoints.R","R","gflow","medium",115,"geodesic.core.endpoints","Graph, geodesic, geometry, dimensionality, or gradient-flow infrastructure."
"R/geodesic_iknn_graphs.R","R","gflow","medium",306,"create.geodesic.iknn.graph;create.iterated.iknn.graphs;summary.iterated_iknn_graphs","Graph, geodesic, geometry, dimensionality, or gradient-flow infrastructure."
"R/geodesic_stats.R","R","gflow","medium",764,"plot.geodesic_stats;plot.vertex_geodesic_stats;print.geodesic_stats;summary.geodesic_stats;summary.vertex_geodesic_stats","Graph, geodesic, geometry, dimensionality, or gradient-flow infrastructure."
"R/geodesics.R","R","gflow","medium",1854,"dist.to.knn;E.geodesic.X;estimate_density;estimate.geodesic.distances;euclidean.distance;geodesic.knn;geodesic.knnx;graph.adj.mat;o.inv.fn;path.dist;path.length;subdivide.path;vars.approx.monotonically.assoc.with.geodesic","Graph, geodesic, geometry, dimensionality, or gradient-flow infrastructure."
"R/gfassoc_utils.R","R","gflowx","medium",328,"gfassoc.deviation;gfassoc.membership;gfassoc.overlap;gfassoc.polarity","Analysis workflow, association testing, clustering, visualization, microbiome-specific, or experimental application layer."
"R/gfc_flow.R","R","gflow","high",7204,"basin.feature.carriers;basin.prev.eval;basin.trajectories;basin.trajectories.gfc.flow;basin.vertices;cell.trajectories.gfc.flow;cell.trajectories.max.edge.length;cell.trajectories.monotonicity;compute.gfc.flow;compute.gfc.trajectory;construct.path.through.waypoints;count.feature.carriers;fit.trajectory.smooth.splines;get.basin;list.basins.default;list.basins.gfc.flow;list.cells.default;list.cells.gfc.flow;merge.gfc.basins;merge.gfc.flow.basins;plot.feature.prevalence;print.gfc_cell_trajectories;print.gfc.flow;print.summary.gfc_basin_trajectories;print.summary.gfc_cell_trajectories;summary.gfc_basin_trajectories;summary.gfc_cell_trajectories;summary.gfc.flow;trajectory.distances.to.vertex;uncovered.vertices.gfc.flow;vertex.cell.trajectory.gfc.flow;vertex.distances.to.trajectory;vertices.feature.carriers","Gradient-flow cells, Morse-Smale objects, basins, extrema, or trajectory infrastructure."
"R/gfcor.R","R","gflow","high",347,"gfcor;print.gfcor;print.summary.gfcor;summary.gfcor","Gradient-flow cells, Morse-Smale objects, basins, extrema, or trajectory infrastructure."
"R/gflow_basins.R","R","gflow","high",523,"find.gflow.basins;find.local.extrema;print.summary.gflow_basins;summary.gflow_basins","Gradient-flow cells, Morse-Smale objects, basins, extrema, or trajectory infrastructure."
"R/gflow_cx_utils.R","R","gflow","high",895,"analyze.harmonic.extensions;apply.harmonic.extension;compare.harmonic.methods;extract.extrema.subgraphs","Gradient-flow cells, Morse-Smale objects, basins, extrema, or trajectory infrastructure."
"R/gflow_cx.R","R","gflow","high",1602,"analyze.extrema.distribution;classify.spurious.extrema;compare.retained.extrema;create.gflow.cx;create.hop.nbhd.extrema.df2;print.gflow_cx;suggest.threshold;visualize.smoothing.steps","Gradient-flow cells, Morse-Smale objects, basins, extrema, or trajectory infrastructure."
"R/gflow_graph_plot.R","R","gflow","high",376,"as_igraph;plot.gflow_graph","Gradient-flow cells, Morse-Smale objects, basins, extrema, or trajectory infrastructure."
"R/gflow_graph.R","R","gflow","high",543,"construct.gflow.graph;print.gflow_graph;print.summary.gflow_graph;summary.gflow_graph","Gradient-flow cells, Morse-Smale objects, basins, extrema, or trajectory infrastructure."
"R/gflow-package.R","R","undecided","low",149,"","Needs manual review."
"R/globals.R","R","shared","medium",19,"","Cross-cutting infrastructure, generated registration, utilities, synthetic/test helpers, or shared numerical support."
"R/gradient_basin_utilities.R","R","gflow","high",981,"extract.cell.trajectory;extract.gradient.trajectory;filter.cells.by.criteria;filter.cells.by.vertex.count;identify.gradient.flow.cells;print.gradient_flow_cells;summary.gradient_flow_cells","Gradient-flow cells, Morse-Smale objects, basins, extrema, or trajectory infrastructure."
"R/graph_edit_distance.R","R","gflow","medium",511,"calculate.edit.distances;create.distance.plot;graph.edit.distance;load.graph.data","Graph, geodesic, geometry, dimensionality, or gradient-flow infrastructure."
"R/graph_embedding.R","R","gflow","medium",329,"graph.embedding;plot2D.colored.graph","Graph, geodesic, geometry, dimensionality, or gradient-flow infrastructure."
"R/graph_endpoint_geometry.R","R","gflow","medium",1068,"compute.graph.endpoint.scores;detect.graph.endpoints","Graph, geodesic, geometry, dimensionality, or gradient-flow infrastructure."
"R/graph_generators.R","R","gflow","medium",1362,"create.bi.kNN.chain.graph;create.bipartite.graph;create.chain.graph;create.complete.graph;create.empty.graph;create.star.graph;generate.circle.graph;generate.star.dataset;join.graphs;nerve.graph;plot.star_object","Graph, geodesic, geometry, dimensionality, or gradient-flow infrastructure."
"R/graph_geodesic_distances.R","R","gflow","medium",145,"graph.geodesic.distances","Graph, geodesic, geometry, dimensionality, or gradient-flow infrastructure."
"R/graph_gradient_flow_basins.R","R","gflow","high",887,"compute.graph.gradient.flow;lmax.basins;lmin.basins;set.boundary","Gradient-flow cells, Morse-Smale objects, basins, extrema, or trajectory infrastructure."
"R/graph_gradient_flow.R","R","gflow","high",1099,"basins.merge;construct.graph.gradient.flow;print.summary.ggflow;replace.basin.label;summary.ggflow","Gradient-flow cells, Morse-Smale objects, basins, extrema, or trajectory infrastructure."
"R/graph_maximal_packing.R","R","gflow","medium",633,"create.maximal.packing;print.maximal_packing;print.packing_validation;validate.maximal.packing;verify.maximal.packing","Graph, geodesic, geometry, dimensionality, or gradient-flow infrastructure."
"R/graph_MS_cx.R","R","gflow","medium",990,"create.lmin.lmax.contingency.table;create.lmin.lmax.label.indicators;create.lmin.lmax.labels;find.longest.true.stretch;graph.constrained.gradient.flow.trajectories;morse.smale.complex.lmin.lmax.summary","Graph, geodesic, geometry, dimensionality, or gradient-flow infrastructure."
"R/graph_shortest_path.R","R","gflow","medium",58,"shortest.path","Graph, geodesic, geometry, dimensionality, or gradient-flow infrastructure."
"R/graph_spectrum.R","R","gflow","medium",343,"graph.low.pass.filter;graph.spectral.embedding;graph.spectrum","Graph, geodesic, geometry, dimensionality, or gradient-flow infrastructure."
"R/graph_summary_divergence.R","R","gflow","medium",714,"compute.graph.summary.pmf;compute.graph.summary.stability;graph.summary.divergence","Graph, geodesic, geometry, dimensionality, or gradient-flow infrastructure."
"R/graph_trend_filtering.R","R","geosmooth","high",900,"fit.graph.trend.filtering;graph.trend.filtering.operator;print.graph.trend.filtering.fit","Conditional-expectation, smoothing, regression, trend-filtering, or fitted-response model."
"R/graph_utils.R","R","gflow","medium",3172,"adjlist.to.igraph;compare.adj.lists;compute.graph.diameter;compute.graph.distance;compute.local.distance.fidelity;convert.adjacency.list.to.adjacency.matrix;convert.adjacency.to.edge.matrix;convert.to.undirected;count.edges;create.pruned.isize.list;create.random.graph;create.subgraph;create.threshold.distance.graph;create.vertex.label.indicators;create.vertex.labels;edge.diff;extract.edge.lengths;extract.trajectory.edge.lengths;generate.graph.gaussian.mixture;geodesic.disk;get.edge.weights;get.sphere.degree.props;get.TN.S1.degree.props;get.torus.degree.props;graph.connected.components;identical.vertex.set.weighted.graph.similarity;rm.self.loops;visualize.grid.function;wgraph.prune.long.edges","Graph, geodesic, geometry, dimensionality, or gradient-flow infrastructure."
"R/graphics.R","R","gflow","medium",2040,"ggraph;itriangle.plot;plot.chain.with.path;plot.ggraph;plot.graphMScx;plot.kh.matrix;plot.model.errors;plot.prediction.errors;plot3D.graph;triangle.plot","Graph, geodesic, geometry, dimensionality, or gradient-flow infrastructure."
"R/grids.R","R","undecided","low",2720,"bbox.hcube.tiling;box.tiling;box.tiling.of.box;create.adaptive.tiled.X.grid.xD;create.final.grid;extract.xy;find.box.containing.x;find.boxes.containing.x;find.points.within.box;hgrid;identify_points_within_box;plot.box.tiling","Needs manual review."
"R/harmonic_extension.R","R","geosmooth","high",383,"as.data.frame.harmonic_extension;compute.harmonic.extension;print.harmonic_extension","Conditional-expectation, smoothing, regression, trend-filtering, or fitted-response model."
"R/harmonic_smoother.R","R","geosmooth","high",760,"get.region.boundary;harmonic.smoother;perform.harmonic.smoothing;plot.harmonic_smoother;print.harmonic_smoother;print.summary.harmonic_smoother;summary.harmonic_smoother","Conditional-expectation, smoothing, regression, trend-filtering, or fitted-response model."
"R/hHN_graphs.R","R","gflow","medium",275,"bbmwd.over.hHN.graphs;create.hHN.graph","Graph, geodesic, geometry, dimensionality, or gradient-flow infrastructure."
"R/hist_utils.R","R","shared","medium",290,"hist1;hist2","Cross-cutting infrastructure, generated registration, utilities, synthetic/test helpers, or shared numerical support."
"R/iknn_graph_response_pipeline.R","R","gflow","medium",618,"iknn.graph.response.pipeline","Graph, geodesic, geometry, dimensionality, or gradient-flow infrastructure."
"R/iknn_graph.R","R","gflow","medium",574,"create.single.iknn.graph;summary.IkNN","Graph, geodesic, geometry, dimensionality, or gradient-flow infrastructure."
"R/iknn_graphs.R","R","gflow","medium",2375,"compute.stability.metrics;create.iknn.graphs;plot.build_iknn_graphs_and_selectk;plot.iknn_stability_metrics;plot.IkNNgraphs;print.build_iknn_graphs_and_selectk;summary.iknn_graphs","Graph, geodesic, geometry, dimensionality, or gradient-flow infrastructure."
"R/intersection_graphs.R","R","gflow","medium",74,"create.intersection.graph","Graph, geodesic, geometry, dimensionality, or gradient-flow infrastructure."
"R/isa_biclustering_utils.R","R","gflowx","medium",432,"","Analysis workflow, association testing, clustering, visualization, microbiome-specific, or experimental application layer."
"R/isometry_deviation.R","R","gflow","medium",355,"isometry.distance.correlations;isometry.distortion.quantiles;isometry.geodesic.diagnostics;isometry.rel.abs.error;isometry.rel.rms.error;isometry.scale;summarize.isometry.deviation","Graph, geodesic, geometry, dimensionality, or gradient-flow infrastructure."
"R/kernel_local_polynomial_cv.R","R","geosmooth","high",602,"kernel.local.polynomial.cv;predict.kernel.local.polynomial.cv;print.kernel.local.polynomial.cv","Conditional-expectation, smoothing, regression, trend-filtering, or fitted-response model."
"R/kernels.R","R","shared","medium",278,"","Cross-cutting infrastructure, generated registration, utilities, synthetic/test helpers, or shared numerical support."
"R/knn_cache_helpers.R","R","shared","medium",35,"","Cross-cutting infrastructure, generated registration, utilities, synthetic/test helpers, or shared numerical support."
"R/knn_metric_helpers.R","R","shared","medium",30,"","Cross-cutting infrastructure, generated registration, utilities, synthetic/test helpers, or shared numerical support."
"R/lcor_with_posterior.R","R","gflowx","medium",550,"lcor.with.posterior;print.lcor.posterior;print.summary.lcor.posterior;summary.lcor.posterior","Analysis workflow, association testing, clustering, visualization, microbiome-specific, or experimental application layer."
"R/lcor.R","R","gflowx","medium",1606,"lcor;lcor.matrix.matrix;lcor.vector.matrix;print.lcor_matrix_matrix_result;print.lcor_vector_matrix_result;summary.lcor_matrix_matrix_result;summary.lcor_vector_matrix_result","Analysis workflow, association testing, clustering, visualization, microbiome-specific, or experimental application layer."
"R/local_extrema.R","R","gflow","high",727,"compute.persistence;detect.local.extrema;plot.local_extrema;print.summary.local_extrema;summary.local_extrema;vertices;vertices.local_extrema","Gradient-flow cells, Morse-Smale objects, basins, extrema, or trajectory infrastructure."
"R/local_geodesic_pruning.R","R","gflow","medium",471,"","Graph, geodesic, geometry, dimensionality, or gradient-flow infrastructure."
"R/local_pca_chart_dim.R","R","shared","medium",365,"","Cross-cutting infrastructure, generated registration, utilities, synthetic/test helpers, or shared numerical support."
"R/lpl_tf.R","R","geosmooth","high",1889,"fit.lpl.tf;lpl.tf.operator;predict.lpl_tf;print.lpl_tf_operator;refit.lpl.tf","Conditional-expectation, smoothing, regression, trend-filtering, or fitted-response model."
"R/lslope_test_paired.R","R","gflowx","medium",906,"coef.lslope.test;lslope.test;plot.lslope.test;print.lslope.test;print.summary.lslope.test;significant.vertices;summary.lslope.test","Analysis workflow, association testing, clustering, visualization, microbiome-specific, or experimental application layer."
"R/lslope.R","R","gflowx","medium",1158,"lslope.neighborhood;print.lslope_gradient_result;print.lslope_matrix_matrix_result;print.lslope_neighborhood_result;print.lslope_vector_matrix_result;summary.lslope_matrix_matrix_result;summary.lslope_vector_matrix_result","Analysis workflow, association testing, clustering, visualization, microbiome-specific, or experimental application layer."
"R/madag.R","R","undecided","low",576,"construct.madag;identify.bottlenecks;print.madag;summary.madag","Needs manual review."
"R/major_arms.R","R","undecided","low",149,"detect.major.arms","Needs manual review."
"R/malo_runtime_helpers.R","R","gflowx","high",31,"","Older or experimental conditional-expectation method family; candidate for GitHub-only archive unless still central."
"R/malps.R","R","geosmooth","high",2981,"bootstrap.malps;fit.malps;malps.gcv;malps.smoother.matrix;predict.malps;print.malps;print.malps_bootstrap;refit.malps","Conditional-expectation, smoothing, regression, trend-filtering, or fitted-response model."
"R/mean_shift_smoother.R","R","geosmooth","high",675,"adaptive_mean_shift_gfa;knn_adaptive_mean_shift_gfa;meanshift.data.smoother;plot.MSD","Conditional-expectation, smoothing, regression, trend-filtering, or fitted-response model."
"R/merge_clustered_basins.R","R","gflowx","medium",575,"merge.clustered.basins","Analysis workflow, association testing, clustering, visualization, microbiome-specific, or experimental application layer."
"R/merge_two_extrema.R","R","gflow","high",557,"merge.two.basins;merge.two.extrema","Gradient-flow cells, Morse-Smale objects, basins, extrema, or trajectory infrastructure."
"R/metric_graph_lowpass.R","R","geosmooth","high",692,"fit.metric.graph.lowpass;metric.graph.lowpass.operator;print.metric.graph.lowpass.fit;print.metric.graph.lowpass.refit;refit.metric.graph.lowpass","Conditional-expectation, smoothing, regression, trend-filtering, or fitted-response model."
"R/mknn_graphs.R","R","gflow","medium",870,"create.mknn.graph;create.mknn.graphs;print.mknn_graph;print.mknn_graphs;summary.mknn_graphs","Graph, geodesic, geometry, dimensionality, or gradient-flow infrastructure."
"R/mst_completion_graphs.R","R","gflow","medium",561,"create.cmst.graph;print.mst_completion_graph;print.summary.mst_completion_graph;summary.mst_completion_graph","Graph, geodesic, geometry, dimensionality, or gradient-flow infrastructure."
"R/mstree.R","R","gflow","medium",56,"","Graph, geodesic, geometry, dimensionality, or gradient-flow infrastructure."
"R/nerve_cx.R","R","gflow","medium",290,"print.nerve_complex","Graph, geodesic, geometry, dimensionality, or gradient-flow infrastructure."
"R/outlier_detection.R","R","gflowx","medium",450,"print.knn.outliers;print.summary.knn.outliers;remove.knn.outliers;summary.knn.outliers","Analysis workflow, association testing, clustering, visualization, microbiome-specific, or experimental application layer."
"R/parameterize_circular_graph.R","R","gflow","medium",341,"parameterize.circular.graph;plot.circular_parameterization;print.circular_parameterization","Graph, geodesic, geometry, dimensionality, or gradient-flow infrastructure."
"R/partition_graph.R","R","gflow","medium",160,"partition.graph","Graph, geodesic, geometry, dimensionality, or gradient-flow infrastructure."
"R/partition_heatmap.R","R","undecided","low",365,"partition.cell.heatmaps;partition.heatmap","Needs manual review."
"R/path_graphs.R","R","gflow","medium",868,"compare.paths;create.path.graph;create.path.graph.series;create.plm.graph;get.shortest.path;minh.limit;print.path.graph;print.path.graph.plm;print.path.graph.series;summary.path.graph;summary.path.graph.series","Graph, geodesic, geometry, dimensionality, or gradient-flow infrastructure."
"R/permutation_test_lcor.R","R","gflowx","medium",226,"permutation.test.lcor","Analysis workflow, association testing, clustering, visualization, microbiome-specific, or experimental application layer."
"R/permutation_test_rdgraph.R","R","gflowx","medium",695,"perm.test.audit;permutation.test.rdgraph","Analysis workflow, association testing, clustering, visualization, microbiome-specific, or experimental application layer."
"R/pextrema.R","R","gflow","high",374,"maxp;minp","Gradient-flow cells, Morse-Smale objects, basins, extrema, or trajectory infrastructure."
"R/phate_core.R","R","gflow","medium",1269,"phate;phate.core;phate.embed","Graph, geodesic, geometry, dimensionality, or gradient-flow infrastructure."
"R/plot_feature_distance_diagnostics.R","R","undecided","low",1071,"make.spt.diagnostics.pdf;plot.abundance.distance.diagnostics;plot.presence.distance.diagnostics;plot.quantile.bin.diagnostics","Needs manual review."
"R/plot_graph_component.R","R","gflow","medium",206,"plot.component;plot.components.multi","Graph, geodesic, geometry, dimensionality, or gradient-flow infrastructure."
"R/plot_trajectory_hurdle_association.R","R","gflowx","medium",961,"plot.trajectory.hurdle.association","Analysis workflow, association testing, clustering, visualization, microbiome-specific, or experimental application layer."
"R/plot_utils.R","R","shared","medium",3641,"add.grad.ED.arrows;bin.segments3d;circle.plot;cont.segments3d;draw.3d.line;draw.axes;draw.dashed.line3d;hor.error.bar;label.end.pts;mae.plot;map.S.to.X;path.fn;plot2D.cltr.profiles;plot2D.cont;plot2D.node.level.props;plot2D.tree;plot3D.cl;plot3D.cltrs;plot3D.cltrs.html;plot3D.cltrs.widget;plot3D.cont.html;plot3D.cont.widget;plot3D.diskEmbdg;plot3D.geodesic;plot3D.path;plot3D.plain.html;plot3D.plain.widget;plot3D.tree;plotlcor.1D;quantize.for.legend;show.3d.cl;show.cltrs;vert.error.bar","Cross-cutting infrastructure, generated registration, utilities, synthetic/test helpers, or shared numerical support."
"R/potential_metric_graph.R","R","gflow","medium",1318,"construct.potential.metric.graph;construct.potential.metric.graph.from.phate","Graph, geodesic, geometry, dimensionality, or gradient-flow infrastructure."
"R/preprocess_matrix.R","R","undecided","low",558,"floor_mass;normal.scores.vec;preprocess.matrix.asinh;preprocess.matrix.logshift;preprocess.matrix.normscores;robust.zscore.vec;winsorize.vec","Needs manual review."
"R/preprocess_metabolon_twoplane.R","R","gflowx","medium",931,"plot.knn.edit.curve;plot.metabolon_twoplane;preprocess.metabolon.twoplane;robust.zscore.vec;winsorize.vec","Analysis workflow, association testing, clustering, visualization, microbiome-specific, or experimental application layer."
"R/pttf_fit.R","R","geosmooth","high",579,"fit.pttf.trend.filtering;print.pttf.trend.filtering.fit","Conditional-expectation, smoothing, regression, trend-filtering, or fitted-response model."
"R/pttf_geometry.R","R","geosmooth","high",844,"pttf.geometry","Conditional-expectation, smoothing, regression, trend-filtering, or fitted-response model."
