"key","field","dependency","ownership","feature","policy","evidence"
"Suggests:rgl","Suggests","rgl","PROTECTED","optional protected 3D visualization","optional","R/compute_basins_of_attraction.R;R/extrema_utils.R;R/extremality_utils.R;R/gflow_cx.R;R/graphics.R;R/plot_utils.R;R/synthetic_data_utils.R;R/test_disk_feature_distance_association_spt.R;R/zzz.R;tests/manual/debugging_plot3D_graph.R;tests/manual/rgl_webgl_workaround_demo_driver.R;tests/manual/select3D_points_html_evenness_k05_driver.R;+2 files"
"Suggests:htmlwidgets","Suggests","htmlwidgets","CORE-ANALYSIS","optional interactive core vignette output","optional","R/plot_utils.R;tests/manual/rgl_webgl_workaround_demo_driver.R"
"Suggests:htmltools","Suggests","htmltools","CORE-PRIVATE","optional widget rendering support","optional","R/plot_utils.R"
"Suggests:grip","Suggests","grip","EXAMPLE","optional layout in core vignette","optional","vignettes/noisy_circle_core_workflow_vignette.Rmd"
"Suggests:dbscan","Suggests","dbscan","CORE-ANALYSIS","optional extrema clustering diagnostics","optional","R/extremality_utils.R;R/trajectory_clustering.R"
"Suggests:mclust","Suggests","mclust","CORE-PRIVATE","optional private plotting palettes","optional","R/plot_utils.R"
"Suggests:MASS","Suggests","MASS","DOMAIN","legacy trajectory-report robust fit","optional","R/plot_trajectory_hurdle_association.R"
"Suggests:RColorBrewer","Suggests","RColorBrewer","DOMAIN","legacy report palettes","optional","R/partition_heatmap.R;R/plot_utils.R"
"Suggests:viridis","Suggests","viridis","DOMAIN","legacy MGCP visualization","optional","R/visualize_mgcp_cluster_single.R;tests/manual/analyze_noisy_circle_cv_phase1_run.R;tests/manual/analyze_noisy_circle_cv_phase2_run.R"
"Suggests:Matrix","Suggests","Matrix","DGRAPHS","sparse diffusion and stability support","optional","R/2d_smooth_morse_smale.R;R/basin_cx.R;R/cluster_local_extrema.R;R/compositional_data_utils.R;R/compute_basins_of_attraction.R;R/detect_binary_partition.R;R/gfassoc_utils.R;R/gfc_flow.R;R/graph_generators.R;R/graph_gradient_flow.R;R/graph_MS_cx.R;R/graphics.R;+58 files"
"Suggests:arm","Suggests","arm","DOMAIN","legacy disk-association report","optional","R/2d_smooth_morse_smale.R;R/basin_complex_adapters.R;R/basin_cx.R;R/compute_gfc_basins.R;R/compute_gfc.R;R/gfc_flow.R;R/gflow_cx_utils.R;R/gflow_cx.R;R/gflow-package.R;R/graph_generators.R;R/graphics.R;R/harmonic_extension.R;+38 files"
"Suggests:brglm2","Suggests","brglm2","DOMAIN","legacy disk-association report","optional","R/test_disk_feature_distance_association_spt.R"
"Suggests:circlize","Suggests","circlize","CORE-ASSOCIATION","optional lcor heatmap colors","optional","R/detect_binary_partition.R;R/extract_stable_clusters.R;R/lcor.R;R/partition_heatmap.R;R/stats_utils.R;R/visualize_mgcp_cluster_single.R;R/visualize_mgcp_clusters.R"
"Suggests:cluster","Suggests","cluster","DOMAIN","legacy trajectory and clustering analysis","optional","R/basin_complex_adapters.R;R/basin_complex_refinement.R;R/basin_complex.R;R/basin_cx.R;R/cluster_comono_graph.R;R/cluster_local_extrema.R;R/compute_gfc.R;R/compute_partition_cell_stats.R;R/consensus_clustering.R;R/detect_binary_partition.R;R/extract_stable_clusters.R;R/extremality_utils.R;+54 files"
"Suggests:ComplexHeatmap","Suggests","ComplexHeatmap","CORE-ASSOCIATION","optional lcor heatmap","optional","R/detect_binary_partition.R;R/extract_stable_clusters.R;R/lcor.R;R/partition_heatmap.R;R/visualize_mgcp_cluster_single.R;R/visualize_mgcp_clusters.R"
"Suggests:dtw","Suggests","dtw","DOMAIN","legacy trajectory clustering","optional","R/trajectory_clustering.R;R/trajectory_distances.R"
"Suggests:ggplot2","Suggests","ggplot2","PROTECTED","optional protected flow plotting","optional","R/gfc_flow.R;R/two_factor_analysis.R;tests/manual/analyze_noisy_circle_cv_phase1_run.R;tests/manual/analyze_noisy_circle_cv_phase2_run.R;tests/manual/analyze_noisy_circle_cv_phase3_run.R;tests/manual/setup-debug.R"
"Suggests:hexbin","Suggests","hexbin","DOMAIN","legacy distance-diagnostic plot","optional","R/plot_feature_distance_diagnostics.R"
"Suggests:logistf","Suggests","logistf","DOMAIN","legacy disk-association report","optional","R/test_disk_feature_distance_association_spt.R"
"Suggests:proxy","Suggests","proxy","DOMAIN","legacy trajectory distance","optional","R/gfcor.R;R/trajectory_distances.R;tests/manual/analyze_noisy_circle_cv_phase1_run.R;tests/manual/analyze_noisy_circle_cv_phase2_run.R"
"Suggests:scales","Suggests","scales","DOMAIN","legacy concordance visualization","optional","R/cluster_comono_graph.R;R/compute_basins_of_attraction.R;R/gfassoc_utils.R;R/gfcor.R;R/graphics.R;R/plot_utils.R;R/preprocess_matrix.R;R/preprocess_metabolon_twoplane.R;R/scan_resolution.R;R/scan_stability.R;R/stats_utils.R;R/utils.R;+7 files"
"Suggests:testthat","Suggests","testthat","CORE-PRIVATE","package tests","development","tests/manual/test_lslope_wasserstein_bayes.R;tests/manual/test_lslope_wasserstein_test.R;tests/manual/test_wasserstein_weighted.R;tests/testthat.R;tests/testthat/test-basin-complex-phase-g.R;tests/testthat/test-cleanup-ownership-guardrails.R;tests/testthat/test-no-msr2-includes.R;tests/testthat/test-phase2-smoothing-boundary.R;tests/testthat/test-phase4-support-boundary.R;tests/testthat/test-phase6-s3-contracts.R;tests/testthat/test-phase7-native-dependencies.R;tests/testthat/test-phase8-public-surface.R"
"Suggests:knitr","Suggests","knitr","CORE-PRIVATE","vignette build","development","R/stats_utils.R;vignettes/basin_complex_workflow_vignette.Rmd;vignettes/noisy_circle_core_workflow_vignette.Rmd"
"Suggests:rmarkdown","Suggests","rmarkdown","CORE-PRIVATE","vignette build","development","vignettes/basin_complex_workflow_vignette.Rmd;vignettes/noisy_circle_core_workflow_vignette.Rmd"
"Suggests:rstan","Suggests","rstan","CORE-PRIVATE","legacy private statistical helper","optional","R/analyze_comono_distributions.R;R/extremality_utils.R;R/filter_basins.R;R/gflow_graph.R;R/graphics.R;R/stats_utils.R;src/basin_cx.cpp"
"Suggests:HDInterval","Suggests","HDInterval","CORE-PRIVATE","legacy private interval helper","optional","R/stats_utils.R"
"Suggests:rootSolve","Suggests","rootSolve","CORE-PRIVATE","legacy private root helper","optional","R/stats_utils.R"
"Suggests:lme4","Suggests","lme4","DOMAIN","legacy two-factor analysis","optional","R/two_factor_analysis.R"
"Suggests:clue","Suggests","clue","DGRAPHS","legacy private graph matching","remove-phase-8","DESCRIPTION-only"
"LinkingTo:Rcpp","LinkingTo","Rcpp","CORE-PRIVATE","compiled interface headers","required","R/globals.R;R/RcppExports.R;src/cpp_mstrees.cpp;src/init.c;src/local_pca_charts_rcpp.cpp;src/local_pca_charts.cpp;src/RcppExports.cpp"
"VignetteBuilder:knitr","VignetteBuilder","knitr","CORE-PRIVATE","vignette build","development","R/stats_utils.R;vignettes/basin_complex_workflow_vignette.Rmd;vignettes/noisy_circle_core_workflow_vignette.Rmd"
"SystemRequirements:C++17","SystemRequirements","C++17","CORE-PRIVATE","compiled package baseline","required","DESCRIPTION-only"
"SystemRequirements:GNU make","SystemRequirements","GNU make","CORE-PRIVATE","native build orchestration","required","DESCRIPTION-only"
"SystemRequirements:OpenMP","SystemRequirements","OpenMP","CORE-PRIVATE","optional native parallelism","optional","R/gfc_flow.R;R/lslope.R;src/gfc.cpp;src/grids.c;src/iknn_graphs.cpp;src/lslope_vector_matrix_r.cpp;src/lslope_vector_matrix.cpp;src/openmp_required.cpp;src/wasserstein_perm_test.cpp;tests/testthat/test-phase7-native-dependencies.R"
